;island;Richness;Even
deep84;swash;0.058582166;0.238079611
deep85;swash;0.047363395;0.226417374
deep86;swash;0.062440275;0.244971438
deep87;swash;0.062413045;0.23714601
deep88;swash;0.061885119;0.251927094
deep89;swash;0.05256326;0.2265985
deep9;swash;0.056564026;0.237279679
deep90;swash;0.058129002;0.230080849
deep91;swash;0.06986164;0.240310505
deep92;swash;0.054584646;0.248410137
deep93;swash;0.055665394;0.234510741
deep94;swash;0.063909278;0.246976851
deep95;swash;0.062871796;0.245228318
deep96;swash;0.057662763;0.230283483
deep97;swash;0.057296061;0.235251731
deep98;swash;0.050923792;0.243410356
deep99;swash;0.05687273;0.227859107
mid1;mid;0.052277271;0.209260712
mid10;mid;0.057637747;0.221596884
mid100;mid;0.057416171;0.229183372
mid11;mid;0.063311943;0.220114353
mid12;mid;0.05034614;0.223266157
mid13;mid;0.055212109;0.242089258
mid14;mid;0.061231414;0.217565664
mid15;mid;0.045797279;0.251643328
mid16;mid;0.064584386;0.247693339
mid17;mid;0.052742222;0.223924762
mid18;mid;0.062710805;0.244467445
mid19;mid;0.056388127;0.235120999
mid2;mid;0.063772343;0.244045313
mid20;mid;0.062633382;0.243038796
mid21;mid;0.058599633;0.243157034
mid22;mid;0.054437322;0.236139439
mid23;mid;0.042929135;0.249784238
mid24;mid;0.063582121;0.221051402
mid25;mid;0.056656477;0.232685868
mid26;mid;0.052254287;0.247647739
mid27;mid;0.061437313;0.24559398
mid28;mid;0.066471455;0.23600333
mid29;mid;0.06816525;0.227880187
mid3;mid;0.049976168;0.221115598
mid30;mid;0.060807761;0.241697845
mid31;mid;0.067122813;0.243113075
mid32;mid;0.052337916;0.229046619
mid33;mid;0.061126492;0.234750125
mid34;mid;0.05428215;0.235392855
mid35;mid;0.04649501;0.258772292
mid36;mid;0.047511467;0.231622496
mid37;mid;0.053579376;0.238262804
mid38;mid;0.045443841;0.258236642
mid39;mid;0.055111456;0.240595036
mid4;mid;0.045302978;0.257978511
mid40;mid;0.067558981;0.234903366
mid41;mid;0.048837486;0.24509675
mid42;mid;0.057551772;0.226342944
mid43;mid;0.051168935;0.23231834
mid44;mid;0.062309113;0.244754239
mid45;mid;0.061819755;0.221585978
mid46;mid;0.061848935;0.230086428
mid47;mid;0.058572293;0.242723661
mid48;mid;0.064612415;0.244050252
mid49;mid;0.05488208;0.245315073
mid5;mid;0.061631752;0.245397891
mid50;mid;0.05292147;0.246061148
mid51;mid;0.048498529;0.237025178
mid52;mid;0.05820159;0.219817319
mid53;mid;0.071881637;0.230405786
mid54;mid;0.05692919;0.243554094
mid55;mid;0.052732661;0.249751246
mid56;mid;0.059838999;0.230502344
mid57;mid;0.06208426;0.249392412
mid58;mid;0.063166656;0.232290343
mid59;mid;0.043371639;0.222446071
mid6;mid;0.062516067;0.221181168
mid60;mid;0.062341929;0.23703983
mid61;mid;0.05683247;0.257149765
mid62;mid;0.068433453;0.244029051
