code;marco.name;name;level;Country;Region;Mediterranean_Region;mean;sorting;skewness;kurtosis;comment.gran;latitude;longitude;Length;Orientation;Town;Harbour;richness
st.129;Laigueglia deep;Laigueglia;deep;ITA;Liguria;Western Mediterranean;176;1.458;0.023;1.412;ok;43.9884883;8.1618863;4.7;SE;YES;YES;3
st.130;Ventimiglia swash;Ventimiglia;swash;ITA;Liguria;Western Mediterranean;1471.5;1.818;0.038;1.109;ok;43.7884241;7.6034311;0.8;SW;YES;YES;1
st.131;Ventimiglia mid;Ventimiglia;mid;ITA;Liguria;Western Mediterranean;197.6;2.095;0.41;2.932;ok;43.7884242;7.6034312;0.8;SW;YES;YES;0
st.132;Ventimiglia deep;Ventimiglia;deep;ITA;Liguria;Western Mediterranean;134.5;1.566;-0.147;0.763;ok;43.7884243;7.6034313;0.8;SW;YES;YES;1
st.133;Saint Maxime swash;Saint_Maxime;swash;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;1635.6;2.22;-0.095;0.76;ok;43.3069241;6.6340671;0.3;S;YES;YES;1
st.134;Saint Maxime mid;Saint_Maxime;mid;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;1718.5;1.662;0.077;1.012;ok;43.3069242;6.6340672;0.3;S;YES;YES;1
st.135;Saint Maxime deep;Saint_Maxime;deep;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;237.6;1.562;0.093;0.747;ok;43.3069243;6.6340673;0.3;S;YES;YES;2
st.136;Grimaud plage swash;Grimaud_plage;swash;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;639.2;2.007;0.01;0.922;ok;43.2769461;6.5840641;1.8;SE;YES;NO;2
st.137;Grimaud plage mid;Grimaud_plage;mid;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;247.1;2.235;0.477;1.56;ok;43.2769462;6.5840642;1.8;SE;YES;NO;2
st.138;Grimaud plage deep;Grimaud_plage;deep;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;250.3;1.572;-0.001;0.738;ok;43.2769463;6.5840643;1.8;SE;YES;NO;1
st.139;Juan Les Pins swash;Juan_Les_Pins;swash;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;708.4;1.238;0;0.738;ok;43.5708881;7.0988621;2.8;S;YES;NO;0
st.140;Juan Les Pins mid;Juan_Les_Pins;mid;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;488;1.979;-0.09;1.043;ok;43.5708882;7.0988622;2.8;S;YES;NO;1
st.141;Juan Les Pins deep;Juan_Les_Pins;deep;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;134;1.844;0.233;1.077;ok;43.5708883;7.0988623;2.8;S;YES;NO;1
st.142;Almanarre Plage swash;Almanarre_Plage;swash;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;1620;1.975;-0.121;1.179;ok;43.0785111;6.1254111;4.3;W;NO;NO;4
st.143;Almanarre Plage mid;Almanarre_Plage;mid;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;1228.2;3.698;-0.557;1.369;ok;43.0785222;6.1254112;4.3;W;NO;NO;2
st.144;Almanarre Plage deep;Almanarre_Plage;deep;FRA;Provence-Alpes-Côte d'Azur;Western Mediterranean;136.5;1.595;-0.058;0.833;ok;43.0785333;6.1254113;4.3;W;NO;NO;2
