name;lon;lat
Torre_Picentina;14.8334362;40.6311422
Torre_Picentina;14.8334362;40.6311422
Torre_Picentina;14.8334362;40.6311422
Torre_Ulivi;9.038906216;39.13028296
Torre_Ulivi;9.038906216;39.13028296
Torre_Ulivi;9.038906216;39.13028296
Trappeto;13.04577251;38.08228469
Trappeto;13.04577251;38.08228469
Trappeto;13.04577251;38.08228469
Ventimiglia;7.6034311;43.7884241
Ventimiglia;7.6034311;43.7884241
Ventimiglia;7.6034311;43.7884241
Weltring;10.75365774;42.80348928
Weltring;10.75365774;42.80348928
Weltring;10.75365774;42.80348928
